SOPs for Data Associate:

- Business Unit: Biostatistics | SOP Type: SOP | Number: SOP-STS-001 | Title: Statistical Analysis Plan | Group: Centralised Monitoring
- Business Unit: Biostatistics | SOP Type: SOP | Number: SOP-STS-002 | Title: Randomization Procedures | Group: Centralised Monitoring
- Business Unit: Biostatistics | SOP Type: SOP | Number: SOP-STS-003 | Title: Statistical Analysis Report | Group: Centralised Monitoring
- Business Unit: Biostatistics | SOP Type: SOP | Number: SOP-STS-004 | Title: Sample Size Estimation | Group: Centralised Monitoring
- Business Unit: Biostatistics | SOP Type: SOP | Number: SOP-STS-005 | Title: Statistical Programming | Group: Centralised Monitoring
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-001 | Title: Business Continuity | Group: Centralised Monitoring
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-002 | Title: Confidentiality and Privacy Policy | Group: Centralised Monitoring
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-003 | Title: Whistleblower Policy | Group: Centralised Monitoring
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-004 | Title: Code of Conduct | Group: Centralised Monitoring
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-005 | Title: Anti-Bribery and Anti-Corruption | Group: Centralised Monitoring
- Business Unit: Data Management | SOP Type: SOP | Number: SOP-DMG-003 | Title: Data Review, Reconciliation and Cleaning | Group: Centralised Monitoring
- Business Unit: Data Management | SOP Type: SOP | Number: SOP-DMG-005 | Title: Database Lock and Study Decommissioning | Group: Centralised Monitoring
- Business Unit: Data Management | SOP Type: SOP | Number: SOP-DMG-006 | Title: Centralized Monitoring | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-001 | Title: IT Acceptable Use | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-002 | Title: Data Classification and Handling | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-003 | Title: AI Acceptable Use Policy | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITO-002 | Title: IT Security | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITO-004 | Title: Information Security | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITC-003 | Title: GxP Computer System Validation | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-001 | Title: Implementation of Information Systems | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-002 | Title: GxP Computer System Validation | Group: Centralised Monitoring
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-009 | Title: Data Access and Transfer | Group: Centralised Monitoring
- Business Unit: Learning and Development | SOP Type: SOP | Number: SOP-LND-001 | Title: Training Management | Group: Centralised Monitoring
- Business Unit: Legal | SOP Type: Policy | Number: POL-LGL-001 | Title: Electronic Signatures | Group: Centralised Monitoring
- Business Unit: Medical Writing | SOP Type: SOP | Number: SOP-MDW-002 | Title: Protocol Development | Group: Centralised Monitoring
- Business Unit: Medical Writing | SOP Type: SOP | Number: SOP-MDW-003 | Title: Clinical Study Report Development | Group: Centralised Monitoring
- Business Unit: Project Management | SOP Type: SOP | Number: SOP-PMG-004 | Title: Clinical Trial Document Filing and Management | Group: Centralised Monitoring
- Business Unit: Project Management | SOP Type: SOP | Number: SOP-PMG-005 | Title: Quality Risk Planning and Management | Group: Centralised Monitoring
- Business Unit: Project Management | SOP Type: SOP | Number: SOP-PMG-006 | Title: Protocol Deviation and Serious Breaches Management | Group: Centralised Monitoring
- Business Unit: Project Management | SOP Type: SOP | Number: SOP-PMG-008 | Title: Project Team Training and Transition | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: Policy | Number: POL-QAD-001 | Title: Good Documentation Practices | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: Policy | Number: POL-QAD-002 | Title: Quality Management | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-001 | Title: Development and Control of Quality Documents | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-003 | Title: Non-compliance and Quality Issue Management | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-004 | Title: Managing Client Audits and Qualifications | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-005 | Title: Regulatory Authority Inspections | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-007 | Title: Scientific Fraud and/or Serious Misconduct | Group: Centralised Monitoring
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-008 | Title: Client Feedback | Group: Centralised Monitoring
