SOPs for Operations Managerment:

- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-001 | Title: Business Continuity | Group: Small Molecular Lab
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-002 | Title: Confidentiality and Privacy Policy | Group: Small Molecular Lab
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-003 | Title: Whistleblower Policy | Group: Small Molecular Lab
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-004 | Title: Code of Conduct | Group: Small Molecular Lab
- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-005 | Title: Anti-Bribery and Anti-Corruption | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-001 | Title: IT Acceptable Use | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-002 | Title: Data Classification and Handling | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITC-003 | Title: AI Acceptable Use Policy | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITO-002 | Title: IT Security | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: Policy | Number: POL-ITO-004 | Title: Information Security | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITC-003 | Title: GxP Computer System Validation | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-001 | Title: Implementation of Information Systems | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-002 | Title: GxP Computer System Validation | Group: Small Molecular Lab
- Business Unit: Information Technology | SOP Type: SOP | Number: SOP-ITO-009 | Title: Data Access and Transfer | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 04-0102 | Title: Preparation of Validation and Bioanalytical Protocol for Bioanalytical Lab | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 04-0103 | Title: Record Checking and Report Preparation for Biosample Analysis | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 09-0105 | Title: Procedure for Bioanalytical Method Validation and Quantification Using Chromatographic Methods | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 09-0110 | Title: Cleaning of Lab Glassware, Containers, and Apparatuses | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 09-0114 | Title: Management of Master Schedule for Bioanalytical Laboratory | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 09-0115 | Title: Management of Precursor Chemicals | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0101 | Title: Use of AB SCIEX LC/MS/MS System AB SCIEX LCMSMS | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0102 | Title: Use of Balance | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0105 | Title: Use of Vortex | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0108 | Title: Use of Ultra-Sonicator | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0110 | Title: Use of fume hood and ventilating apparatuses | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0112 | Title: Use of Nitrogen Generator | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0114 | Title: Use of Air Velocity Meter | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0117 | Title: Use of Standard Thermometer/Hygrometer | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0118 | Title: Use of Humidity Control Cabinet | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0119 | Title: Use of biological safety cabinet | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0122 | Title: Use of Heating Magnetic Stirrer | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0131 | Title: Operation and Maintenance of Ultraviolet lamp | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 10-0133 | Title: Use of Ice Machine | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: 13-0103 | Title: Infectious Sample Processing Flow | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IV-014 | Title: Record Checking and Report Preparation | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IV-015 | Title: Numbering Rule of Project and Document for Bioanalytical Lab | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IV-026 | Title: Preparation of validation and bioanalytical protocol for Bioanalytical Lab | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-001 | Title: Procedure for Bioanalytical Method Validation and Quantification Using Chromatographic Methods, 生物樣品(層析法)方法確效與定量分析之操作程序 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-010 | Title: Cleaning of lab glasswares, containers, and apparatuses, 試驗用容器與器具清洗 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-011 | Title: Measuring uncertainty evaluating procedure, 量測不確定度作業與估算程序 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-021 | Title: Procedure for Nonclinical Dose Formulation Analysis Method Validation and Quantification, 非臨床供試品方法確效與定量分析之操作程序 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-022 | Title: Management of Master Schedule for Bioanalytical Laboratory, 藥動分析實驗室主進度表管理 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-116 | Title: Procedure for Technology Transfer, 技術移轉之程序 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-117 | Title: Procedure for Chromatographic Method Development, 層析法之分析方法研發之操作方法 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: IX-118 | Title: LCMSMS Project Create, LCMSMS 專案建立 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-A01 | Title: Control of Handwritten Signatures | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-A02 | Title: Protocol and Method Deviation | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-A03 | Title: Laboratory Change Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-C01 | Title: Training & Competency Assessment of Laboratory Personnel | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-E01 | Title: Monitoring and Control of Temperature and Humidity in Laboratory | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R01 | Title: Use of Water Purification System | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R03 | Title: Operation, Maintenance and Calibration of Walk-in Refrigerator | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R04 | Title: Operation, Maintenance and Calibration of Microplate Washer | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R05 | Title: Operation and Maintenance of Microscope | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R06 | Title: Management of Refrigerator and Freezer | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-R07  | Title: Operation, Maintenance and Calibration of Centrifuge | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LAB-V02 | Title: Management of Exl Spreadsheet for Data Processing | Group: Small Molecular Lab
